rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
4599,Emmen-Zwolle,"Emmen - Zwolle",159,,,"sein- en wisselstoring","signalling and points failure","sein- en wisselstoring","signalling and points failure",infrastructure,"2012-10-02 22:12:02","2012-10-02 22:33:02",13
4600,Dordrecht-Geldermalsen,"Dordrecht - Geldermalsen",55,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-10-02 22:48:01","2012-10-03 01:14:02",140
4601,"Alphen a/d Rijn-Gouda/Utrecht Centraal","Alphen a/d Rijn - Gouda",8,,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-10-03 05:31:01","2012-10-03 09:04:01",175
4602,"Rotterdam C-Hoek v H Strand","Hoek van Holland Strand - Rotterdam Centraal",9,,,"de weersomstandigheden","weather circumstances","de weersomstandigheden","weather circumstances",weather,"2012-10-03 08:26:03","2012-10-03 12:37:01",222
4603,Deventer-Zutphen/Zwolle,"Deventer - Zwolle",94,,,"sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2012-10-03 09:28:01","2012-10-03 11:13:01",62
4604,Zwolle-Deventer,"Deventer - Zwolle",94,,,"sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2012-10-03 14:05:01","2012-10-03 17:18:01",143
4605,"Utrecht Centraal-'s-Hertogenbosch/Tiel","'s-Hertogenbosch - Utrecht Centraal, Tiel - Utrecht Centraal","150,151",,,wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2012-10-03 17:58:01","2012-10-03 19:07:01",34
4606,Vlissingen-Roosendaal,"Roosendaal - Vlissingen",21,,,koperdiefstal,"copper theft",koperdiefstal,"copper theft",external,"2012-10-04 06:11:01","2012-10-04 07:58:01",103
4607,"Amsterdam C-Alkmaar/Enkhuizen","Alkmaar - Amsterdam Centraal",161,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-10-04 07:03:01","2012-10-04 12:39:01",275
4608,Heerlen-Maastricht,"Heerlen - Maastricht",76,,,"sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2012-10-04 10:57:01","2012-10-04 13:02:01",108
4609,Arnhem-Winterswijk,"Arnhem Centraal - Winterswijk",82,,,"defecte trein","broken down train","defecte trein","broken down train","rolling stock","2012-10-04 12:47:01","2012-10-04 15:22:01",143
4610,Alkmaar-Enkhuizen/Hoorn,"Alkmaar - Hoorn",163,,,"aanrijding met een persoon","person hit by a train","aanrijding met een persoon","person hit by a train",accidents,"2012-10-04 20:31:01","2012-10-04 23:16:02",124
4611,"Alkmaar-Den Helder/Enkhuizen/Heerhugowaard/Hoorn","Alkmaar - Den Helder, Alkmaar - Hoorn","162,163",,,"defecte spoorbrug","damaged railway bridge","defecte spoorbrug","damaged railway bridge",infrastructure,"2012-10-04 20:45:01","2012-10-04 21:50:02",49
4612,Deventer-Zutphen,"Deventer - Zutphen",86,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-10-04 21:24:02","2012-10-05 01:35:01",247
4613,Zwolle-Groningen/Leeuwarden,"Groningen - Zwolle, Leeuwarden - Zwolle","146,160",,,"voorwerp in de bovenleiding","an object in the overhead wires","voorwerp in de bovenleiding","an object in the overhead wires",external,"2012-10-05 13:27:01","2012-10-05 14:29:01",44
4614,Nijmegen-Venlo,"Nijmegen - Venlo",64,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-10-05 15:05:02","2012-10-05 16:05:01",60
4615,Deventer-Zwolle,"Deventer - Zwolle",94,,,"boom op het spoor","tree on the track","boom op het spoor","tree on the track",external,"2012-10-05 15:12:01","2012-10-05 16:31:04",55
4616,Zwolle-Deventer,"Deventer - Zwolle",94,,,"sein-en overwegstoring","signal and level crossing failure","sein-en overwegstoring","signal and level crossing failure",infrastructure,"2012-10-05 19:41:01","2012-10-06 02:31:08",410
4617,Schiphol,"Amersfoort - Schiphol Airport, Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL), Schiphol Airport - Utrecht Centraal, Schiphol Airport - Zaandam","22,24,32,137,144,148,165",,,brandmelding,"fire alarm",brandmelding,"fire alarm",external,"2012-10-05 20:29:01","2012-10-05 23:08:01",49
4618,Zwolle-Deventer,"Deventer - Zwolle",94,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-10-06 08:34:01","2012-10-06 10:07:01",67
4619,Venlo-Roermond,"Roermond - Venlo",66,,,overwegstoring,"level crossing failure",overwegstoring,"level crossing failure",infrastructure,"2012-10-06 10:25:02","2012-10-06 17:57:01",439
4620,Zwolle-Deventer,"Deventer - Zwolle",94,,,seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2012-10-06 10:51:01","2012-10-06 17:42:01",411
